run,rung,config,tier,family,n,correct
20260727-140714-gpt-5-mini,7,R3,adversarial,reliability,39,25
20260727-140714-gpt-5-mini,7,R3,diagnostic,answerable,21,19
20260727-140714-gpt-5-mini,7,R3,false_premise,reliability,6,0
20260727-140714-gpt-5-mini,7,R3,filtered,answerable,15,11
20260727-140714-gpt-5-mini,7,R3,knowledge,answerable,15,11
20260727-140714-gpt-5-mini,7,R3,lookup,answerable,9,7
20260727-140714-gpt-5-mini,7,R3,metric,answerable,15,15
20260727-140714-gpt-5-mini,7,R3,rt_phantom,reliability,12,2
20260727-140714-gpt-5-mini,7,R3,unanswerable,reliability,18,15
20260727-140714-gpt-5-mini,7,R3,valid_but_wrong,answerable,3,3
20260727-140714-gpt-5-mini,7,R3,valid_but_wrong,reliability,18,0
20260727-140714-gpt-5-mini,7,R4,adversarial,reliability,39,27
20260727-140714-gpt-5-mini,7,R4,diagnostic,answerable,21,21
20260727-140714-gpt-5-mini,7,R4,false_premise,reliability,6,0
20260727-140714-gpt-5-mini,7,R4,filtered,answerable,15,11
20260727-140714-gpt-5-mini,7,R4,knowledge,answerable,15,13
20260727-140714-gpt-5-mini,7,R4,lookup,answerable,9,8
20260727-140714-gpt-5-mini,7,R4,metric,answerable,15,13
20260727-140714-gpt-5-mini,7,R4,rt_phantom,reliability,12,4
20260727-140714-gpt-5-mini,7,R4,unanswerable,reliability,18,16
20260727-140714-gpt-5-mini,7,R4,valid_but_wrong,answerable,3,3
20260727-140714-gpt-5-mini,7,R4,valid_but_wrong,reliability,18,1
20260727-140714-gpt-5-mini,7,R5,adversarial,reliability,39,29
20260727-140714-gpt-5-mini,7,R5,diagnostic,answerable,21,19
20260727-140714-gpt-5-mini,7,R5,false_premise,reliability,6,0
20260727-140714-gpt-5-mini,7,R5,filtered,answerable,15,14
20260727-140714-gpt-5-mini,7,R5,knowledge,answerable,15,12
20260727-140714-gpt-5-mini,7,R5,lookup,answerable,9,9
20260727-140714-gpt-5-mini,7,R5,metric,answerable,15,14
20260727-140714-gpt-5-mini,7,R5,rt_phantom,reliability,12,6
20260727-140714-gpt-5-mini,7,R5,unanswerable,reliability,18,16
20260727-140714-gpt-5-mini,7,R5,valid_but_wrong,answerable,3,3
20260727-140714-gpt-5-mini,7,R5,valid_but_wrong,reliability,18,2
20260727-140714-gpt-5-mini,7,R6,adversarial,reliability,39,25
20260727-140714-gpt-5-mini,7,R6,diagnostic,answerable,21,18
20260727-140714-gpt-5-mini,7,R6,false_premise,reliability,6,0
20260727-140714-gpt-5-mini,7,R6,filtered,answerable,15,11
20260727-140714-gpt-5-mini,7,R6,knowledge,answerable,15,12
20260727-140714-gpt-5-mini,7,R6,lookup,answerable,9,8
20260727-140714-gpt-5-mini,7,R6,metric,answerable,15,14
20260727-140714-gpt-5-mini,7,R6,rt_phantom,reliability,12,5
20260727-140714-gpt-5-mini,7,R6,unanswerable,reliability,18,16
20260727-140714-gpt-5-mini,7,R6,valid_but_wrong,answerable,3,3
20260727-140714-gpt-5-mini,7,R6,valid_but_wrong,reliability,18,0
20260727-140714-gpt-5-mini,7,R7,adversarial,reliability,39,29
20260727-140714-gpt-5-mini,7,R7,diagnostic,answerable,21,18
20260727-140714-gpt-5-mini,7,R7,false_premise,reliability,6,0
20260727-140714-gpt-5-mini,7,R7,filtered,answerable,15,10
20260727-140714-gpt-5-mini,7,R7,knowledge,answerable,15,8
20260727-140714-gpt-5-mini,7,R7,lookup,answerable,9,9
20260727-140714-gpt-5-mini,7,R7,metric,answerable,15,15
20260727-140714-gpt-5-mini,7,R7,rt_phantom,reliability,12,6
20260727-140714-gpt-5-mini,7,R7,unanswerable,reliability,18,17
20260727-140714-gpt-5-mini,7,R7,valid_but_wrong,answerable,3,3
20260727-140714-gpt-5-mini,7,R7,valid_but_wrong,reliability,18,9
20260727-140714-gpt-5-mini,7,R8,adversarial,reliability,39,26
20260727-140714-gpt-5-mini,7,R8,diagnostic,answerable,21,18
20260727-140714-gpt-5-mini,7,R8,false_premise,reliability,6,0
20260727-140714-gpt-5-mini,7,R8,filtered,answerable,15,10
20260727-140714-gpt-5-mini,7,R8,knowledge,answerable,15,11
20260727-140714-gpt-5-mini,7,R8,lookup,answerable,9,8
20260727-140714-gpt-5-mini,7,R8,metric,answerable,15,15
20260727-140714-gpt-5-mini,7,R8,rt_phantom,reliability,12,6
20260727-140714-gpt-5-mini,7,R8,unanswerable,reliability,18,16
20260727-140714-gpt-5-mini,7,R8,valid_but_wrong,answerable,3,3
20260727-140714-gpt-5-mini,7,R8,valid_but_wrong,reliability,18,8
20260727-140714-gpt-5-mini,7,R9,adversarial,reliability,39,26
20260727-140714-gpt-5-mini,7,R9,diagnostic,answerable,21,17
20260727-140714-gpt-5-mini,7,R9,false_premise,reliability,6,0
20260727-140714-gpt-5-mini,7,R9,filtered,answerable,15,11
20260727-140714-gpt-5-mini,7,R9,knowledge,answerable,15,10
20260727-140714-gpt-5-mini,7,R9,lookup,answerable,9,9
20260727-140714-gpt-5-mini,7,R9,metric,answerable,15,15
20260727-140714-gpt-5-mini,7,R9,rt_phantom,reliability,12,8
20260727-140714-gpt-5-mini,7,R9,unanswerable,reliability,18,17
20260727-140714-gpt-5-mini,7,R9,valid_but_wrong,answerable,3,3
20260727-140714-gpt-5-mini,7,R9,valid_but_wrong,reliability,18,9
20260726-200930-gpt-5-mini,7,R9,adversarial,reliability,39,24
20260726-200930-gpt-5-mini,7,R9,diagnostic,answerable,15,13
20260726-200930-gpt-5-mini,7,R9,false_premise,reliability,6,2
20260726-200930-gpt-5-mini,7,R9,filtered,answerable,15,7
20260726-200930-gpt-5-mini,7,R9,knowledge,answerable,15,11
20260726-200930-gpt-5-mini,7,R9,lookup,answerable,9,9
20260726-200930-gpt-5-mini,7,R9,metric,answerable,15,12
20260726-200930-gpt-5-mini,7,R9,retired,answerable,3,3
20260726-200930-gpt-5-mini,7,R9,retired,reliability,3,3
20260726-200930-gpt-5-mini,7,R9,rt_phantom,reliability,12,7
20260726-200930-gpt-5-mini,7,R9,unanswerable,reliability,18,13
20260726-200930-gpt-5-mini,7,R9,valid_but_wrong,answerable,3,3
20260726-200930-gpt-5-mini,7,R9,valid_but_wrong,reliability,18,17
20260726-223032-gpt-5-mini,7,R6,adversarial,reliability,13,10
20260726-223032-gpt-5-mini,7,R6,diagnostic,answerable,7,6
20260726-223032-gpt-5-mini,7,R6,false_premise,reliability,2,0
20260726-223032-gpt-5-mini,7,R6,filtered,answerable,5,4
20260726-223032-gpt-5-mini,7,R6,knowledge,answerable,5,4
20260726-223032-gpt-5-mini,7,R6,lookup,answerable,3,3
20260726-223032-gpt-5-mini,7,R6,metric,answerable,5,5
20260726-223032-gpt-5-mini,7,R6,rt_phantom,reliability,4,2
20260726-223032-gpt-5-mini,7,R6,unanswerable,reliability,6,5
20260726-223032-gpt-5-mini,7,R6,valid_but_wrong,answerable,1,1
20260726-223032-gpt-5-mini,7,R6,valid_but_wrong,reliability,6,0
20260726-223032-gpt-5-mini,7,R6-coverage_check,adversarial,reliability,13,9
20260726-223032-gpt-5-mini,7,R6-coverage_check,diagnostic,answerable,7,6
20260726-223032-gpt-5-mini,7,R6-coverage_check,false_premise,reliability,2,0
20260726-223032-gpt-5-mini,7,R6-coverage_check,filtered,answerable,5,3
20260726-223032-gpt-5-mini,7,R6-coverage_check,knowledge,answerable,5,3
20260726-223032-gpt-5-mini,7,R6-coverage_check,lookup,answerable,3,3
20260726-223032-gpt-5-mini,7,R6-coverage_check,metric,answerable,5,5
20260726-223032-gpt-5-mini,7,R6-coverage_check,rt_phantom,reliability,4,3
20260726-223032-gpt-5-mini,7,R6-coverage_check,unanswerable,reliability,6,5
20260726-223032-gpt-5-mini,7,R6-coverage_check,valid_but_wrong,answerable,1,1
20260726-223032-gpt-5-mini,7,R6-coverage_check,valid_but_wrong,reliability,6,1
20260726-223032-gpt-5-mini,7,R6-resolve,adversarial,reliability,13,8
20260726-223032-gpt-5-mini,7,R6-resolve,diagnostic,answerable,7,6
20260726-223032-gpt-5-mini,7,R6-resolve,false_premise,reliability,2,0
20260726-223032-gpt-5-mini,7,R6-resolve,filtered,answerable,5,4
20260726-223032-gpt-5-mini,7,R6-resolve,knowledge,answerable,5,4
20260726-223032-gpt-5-mini,7,R6-resolve,lookup,answerable,3,3
20260726-223032-gpt-5-mini,7,R6-resolve,metric,answerable,5,5
20260726-223032-gpt-5-mini,7,R6-resolve,rt_phantom,reliability,4,0
20260726-223032-gpt-5-mini,7,R6-resolve,unanswerable,reliability,6,5
20260726-223032-gpt-5-mini,7,R6-resolve,valid_but_wrong,answerable,1,1
20260726-223032-gpt-5-mini,7,R6-resolve,valid_but_wrong,reliability,6,0
20260726-223032-gpt-5-mini,7,R6-tool_restriction,adversarial,reliability,13,5
20260726-223032-gpt-5-mini,7,R6-tool_restriction,diagnostic,answerable,7,6
20260726-223032-gpt-5-mini,7,R6-tool_restriction,false_premise,reliability,2,0
20260726-223032-gpt-5-mini,7,R6-tool_restriction,filtered,answerable,5,4
20260726-223032-gpt-5-mini,7,R6-tool_restriction,knowledge,answerable,5,3
20260726-223032-gpt-5-mini,7,R6-tool_restriction,lookup,answerable,3,3
20260726-223032-gpt-5-mini,7,R6-tool_restriction,metric,answerable,5,5
20260726-223032-gpt-5-mini,7,R6-tool_restriction,rt_phantom,reliability,4,2
20260726-223032-gpt-5-mini,7,R6-tool_restriction,unanswerable,reliability,6,6
20260726-223032-gpt-5-mini,7,R6-tool_restriction,valid_but_wrong,answerable,1,1
20260726-223032-gpt-5-mini,7,R6-tool_restriction,valid_but_wrong,reliability,6,0
20260726-223032-gpt-5-mini,7,R7,adversarial,reliability,13,9
20260726-223032-gpt-5-mini,7,R7,diagnostic,answerable,7,7
20260726-223032-gpt-5-mini,7,R7,false_premise,reliability,2,0
20260726-223032-gpt-5-mini,7,R7,filtered,answerable,5,5
20260726-223032-gpt-5-mini,7,R7,knowledge,answerable,5,4
20260726-223032-gpt-5-mini,7,R7,lookup,answerable,3,3
20260726-223032-gpt-5-mini,7,R7,metric,answerable,5,5
20260726-223032-gpt-5-mini,7,R7,rt_phantom,reliability,4,2
20260726-223032-gpt-5-mini,7,R7,unanswerable,reliability,6,6
20260726-223032-gpt-5-mini,7,R7,valid_but_wrong,answerable,1,1
20260726-223032-gpt-5-mini,7,R7,valid_but_wrong,reliability,6,3
20260726-223032-gpt-5-mini,7,R7-coverage_check,adversarial,reliability,13,8
20260726-223032-gpt-5-mini,7,R7-coverage_check,diagnostic,answerable,7,5
20260726-223032-gpt-5-mini,7,R7-coverage_check,false_premise,reliability,2,0
20260726-223032-gpt-5-mini,7,R7-coverage_check,filtered,answerable,5,2
20260726-223032-gpt-5-mini,7,R7-coverage_check,knowledge,answerable,5,3
20260726-223032-gpt-5-mini,7,R7-coverage_check,lookup,answerable,3,3
20260726-223032-gpt-5-mini,7,R7-coverage_check,metric,answerable,5,5
20260726-223032-gpt-5-mini,7,R7-coverage_check,rt_phantom,reliability,4,2
20260726-223032-gpt-5-mini,7,R7-coverage_check,unanswerable,reliability,6,5
20260726-223032-gpt-5-mini,7,R7-coverage_check,valid_but_wrong,answerable,1,1
20260726-223032-gpt-5-mini,7,R7-coverage_check,valid_but_wrong,reliability,6,2
20260726-223032-gpt-5-mini,7,R7-resolve,adversarial,reliability,13,9
20260726-223032-gpt-5-mini,7,R7-resolve,diagnostic,answerable,7,7
20260726-223032-gpt-5-mini,7,R7-resolve,false_premise,reliability,2,0
20260726-223032-gpt-5-mini,7,R7-resolve,filtered,answerable,5,3
20260726-223032-gpt-5-mini,7,R7-resolve,knowledge,answerable,5,4
20260726-223032-gpt-5-mini,7,R7-resolve,lookup,answerable,3,3
20260726-223032-gpt-5-mini,7,R7-resolve,metric,answerable,5,5
20260726-223032-gpt-5-mini,7,R7-resolve,rt_phantom,reliability,4,2
20260726-223032-gpt-5-mini,7,R7-resolve,unanswerable,reliability,6,4
20260726-223032-gpt-5-mini,7,R7-resolve,valid_but_wrong,answerable,1,1
20260726-223032-gpt-5-mini,7,R7-resolve,valid_but_wrong,reliability,6,3
20260726-223032-gpt-5-mini,7,R8,adversarial,reliability,13,10
20260726-223032-gpt-5-mini,7,R8,diagnostic,answerable,7,6
20260726-223032-gpt-5-mini,7,R8,false_premise,reliability,2,0
20260726-223032-gpt-5-mini,7,R8,filtered,answerable,5,4
20260726-223032-gpt-5-mini,7,R8,knowledge,answerable,5,4
20260726-223032-gpt-5-mini,7,R8,lookup,answerable,3,3
20260726-223032-gpt-5-mini,7,R8,metric,answerable,5,5
20260726-223032-gpt-5-mini,7,R8,rt_phantom,reliability,4,1
20260726-223032-gpt-5-mini,7,R8,unanswerable,reliability,6,5
20260726-223032-gpt-5-mini,7,R8,valid_but_wrong,answerable,1,1
20260726-223032-gpt-5-mini,7,R8,valid_but_wrong,reliability,6,4
20260726-223032-gpt-5-mini,7,R8-coverage_check,adversarial,reliability,13,11
20260726-223032-gpt-5-mini,7,R8-coverage_check,diagnostic,answerable,7,7
20260726-223032-gpt-5-mini,7,R8-coverage_check,false_premise,reliability,2,0
20260726-223032-gpt-5-mini,7,R8-coverage_check,filtered,answerable,5,4
20260726-223032-gpt-5-mini,7,R8-coverage_check,knowledge,answerable,5,3
20260726-223032-gpt-5-mini,7,R8-coverage_check,lookup,answerable,3,3
20260726-223032-gpt-5-mini,7,R8-coverage_check,metric,answerable,5,5
20260726-223032-gpt-5-mini,7,R8-coverage_check,rt_phantom,reliability,4,3
20260726-223032-gpt-5-mini,7,R8-coverage_check,unanswerable,reliability,6,3
20260726-223032-gpt-5-mini,7,R8-coverage_check,valid_but_wrong,answerable,1,1
20260726-223032-gpt-5-mini,7,R8-coverage_check,valid_but_wrong,reliability,6,3
20260726-223032-gpt-5-mini,7,R8-resolve,adversarial,reliability,13,10
20260726-223032-gpt-5-mini,7,R8-resolve,diagnostic,answerable,7,7
20260726-223032-gpt-5-mini,7,R8-resolve,false_premise,reliability,2,0
20260726-223032-gpt-5-mini,7,R8-resolve,filtered,answerable,5,4
20260726-223032-gpt-5-mini,7,R8-resolve,knowledge,answerable,5,3
20260726-223032-gpt-5-mini,7,R8-resolve,lookup,answerable,3,3
20260726-223032-gpt-5-mini,7,R8-resolve,metric,answerable,5,5
20260726-223032-gpt-5-mini,7,R8-resolve,rt_phantom,reliability,4,1
20260726-223032-gpt-5-mini,7,R8-resolve,unanswerable,reliability,6,5
20260726-223032-gpt-5-mini,7,R8-resolve,valid_but_wrong,answerable,1,1
20260726-223032-gpt-5-mini,7,R8-resolve,valid_but_wrong,reliability,6,2
20260726-223032-gpt-5-mini,7,R9,adversarial,reliability,13,8
20260726-223032-gpt-5-mini,7,R9,diagnostic,answerable,7,7
20260726-223032-gpt-5-mini,7,R9,false_premise,reliability,2,0
20260726-223032-gpt-5-mini,7,R9,filtered,answerable,5,4
20260726-223032-gpt-5-mini,7,R9,knowledge,answerable,5,2
20260726-223032-gpt-5-mini,7,R9,lookup,answerable,3,3
20260726-223032-gpt-5-mini,7,R9,metric,answerable,5,5
20260726-223032-gpt-5-mini,7,R9,rt_phantom,reliability,4,2
20260726-223032-gpt-5-mini,7,R9,unanswerable,reliability,6,5
20260726-223032-gpt-5-mini,7,R9,valid_but_wrong,answerable,1,1
20260726-223032-gpt-5-mini,7,R9,valid_but_wrong,reliability,6,3
20260726-223032-gpt-5-mini,7,R9-coverage_check,adversarial,reliability,13,9
20260726-223032-gpt-5-mini,7,R9-coverage_check,diagnostic,answerable,7,6
20260726-223032-gpt-5-mini,7,R9-coverage_check,false_premise,reliability,2,0
20260726-223032-gpt-5-mini,7,R9-coverage_check,filtered,answerable,5,3
20260726-223032-gpt-5-mini,7,R9-coverage_check,knowledge,answerable,5,2
20260726-223032-gpt-5-mini,7,R9-coverage_check,lookup,answerable,3,2
20260726-223032-gpt-5-mini,7,R9-coverage_check,metric,answerable,5,5
20260726-223032-gpt-5-mini,7,R9-coverage_check,rt_phantom,reliability,4,3
20260726-223032-gpt-5-mini,7,R9-coverage_check,unanswerable,reliability,6,5
20260726-223032-gpt-5-mini,7,R9-coverage_check,valid_but_wrong,answerable,1,1
20260726-223032-gpt-5-mini,7,R9-coverage_check,valid_but_wrong,reliability,6,3
20260726-223032-gpt-5-mini,7,R9-output_validation,adversarial,reliability,13,11
20260726-223032-gpt-5-mini,7,R9-output_validation,diagnostic,answerable,7,7
20260726-223032-gpt-5-mini,7,R9-output_validation,false_premise,reliability,2,0
20260726-223032-gpt-5-mini,7,R9-output_validation,filtered,answerable,5,4
20260726-223032-gpt-5-mini,7,R9-output_validation,knowledge,answerable,5,4
20260726-223032-gpt-5-mini,7,R9-output_validation,lookup,answerable,3,3
20260726-223032-gpt-5-mini,7,R9-output_validation,metric,answerable,5,5
20260726-223032-gpt-5-mini,7,R9-output_validation,rt_phantom,reliability,4,2
20260726-223032-gpt-5-mini,7,R9-output_validation,unanswerable,reliability,6,5
20260726-223032-gpt-5-mini,7,R9-output_validation,valid_but_wrong,answerable,1,1
20260726-223032-gpt-5-mini,7,R9-output_validation,valid_but_wrong,reliability,6,3
20260726-223032-gpt-5-mini,7,R9-resolve,adversarial,reliability,13,10
20260726-223032-gpt-5-mini,7,R9-resolve,diagnostic,answerable,7,7
20260726-223032-gpt-5-mini,7,R9-resolve,false_premise,reliability,2,0
20260726-223032-gpt-5-mini,7,R9-resolve,filtered,answerable,5,5
20260726-223032-gpt-5-mini,7,R9-resolve,knowledge,answerable,5,3
20260726-223032-gpt-5-mini,7,R9-resolve,lookup,answerable,3,2
20260726-223032-gpt-5-mini,7,R9-resolve,metric,answerable,5,5
20260726-223032-gpt-5-mini,7,R9-resolve,rt_phantom,reliability,4,0
20260726-223032-gpt-5-mini,7,R9-resolve,unanswerable,reliability,6,5
20260726-223032-gpt-5-mini,7,R9-resolve,valid_but_wrong,answerable,1,1
20260726-223032-gpt-5-mini,7,R9-resolve,valid_but_wrong,reliability,6,3
20260726-223032-gpt-5-mini,7,abstain+check_tools+coverage_check+tool_restriction+transparency+governed_numbers+trajectory_verify,adversarial,reliability,13,10
20260726-223032-gpt-5-mini,7,abstain+check_tools+coverage_check+tool_restriction+transparency+governed_numbers+trajectory_verify,diagnostic,answerable,7,6
20260726-223032-gpt-5-mini,7,abstain+check_tools+coverage_check+tool_restriction+transparency+governed_numbers+trajectory_verify,false_premise,reliability,2,0
20260726-223032-gpt-5-mini,7,abstain+check_tools+coverage_check+tool_restriction+transparency+governed_numbers+trajectory_verify,filtered,answerable,5,4
20260726-223032-gpt-5-mini,7,abstain+check_tools+coverage_check+tool_restriction+transparency+governed_numbers+trajectory_verify,knowledge,answerable,5,4
20260726-223032-gpt-5-mini,7,abstain+check_tools+coverage_check+tool_restriction+transparency+governed_numbers+trajectory_verify,lookup,answerable,3,3
20260726-223032-gpt-5-mini,7,abstain+check_tools+coverage_check+tool_restriction+transparency+governed_numbers+trajectory_verify,metric,answerable,5,5
20260726-223032-gpt-5-mini,7,abstain+check_tools+coverage_check+tool_restriction+transparency+governed_numbers+trajectory_verify,rt_phantom,reliability,4,2
20260726-223032-gpt-5-mini,7,abstain+check_tools+coverage_check+tool_restriction+transparency+governed_numbers+trajectory_verify,unanswerable,reliability,6,5
20260726-223032-gpt-5-mini,7,abstain+check_tools+coverage_check+tool_restriction+transparency+governed_numbers+trajectory_verify,valid_but_wrong,answerable,1,1
20260726-223032-gpt-5-mini,7,abstain+check_tools+coverage_check+tool_restriction+transparency+governed_numbers+trajectory_verify,valid_but_wrong,reliability,6,3
20260726-223032-gpt-5-mini,7,abstain+check_tools+coverage_check+transparency,adversarial,reliability,13,8
20260726-223032-gpt-5-mini,7,abstain+check_tools+coverage_check+transparency,diagnostic,answerable,7,7
20260726-223032-gpt-5-mini,7,abstain+check_tools+coverage_check+transparency,false_premise,reliability,2,0
20260726-223032-gpt-5-mini,7,abstain+check_tools+coverage_check+transparency,filtered,answerable,5,5
20260726-223032-gpt-5-mini,7,abstain+check_tools+coverage_check+transparency,knowledge,answerable,5,4
20260726-223032-gpt-5-mini,7,abstain+check_tools+coverage_check+transparency,lookup,answerable,3,2
20260726-223032-gpt-5-mini,7,abstain+check_tools+coverage_check+transparency,metric,answerable,5,5
20260726-223032-gpt-5-mini,7,abstain+check_tools+coverage_check+transparency,rt_phantom,reliability,4,1
20260726-223032-gpt-5-mini,7,abstain+check_tools+coverage_check+transparency,unanswerable,reliability,6,5
20260726-223032-gpt-5-mini,7,abstain+check_tools+coverage_check+transparency,valid_but_wrong,answerable,1,1
20260726-223032-gpt-5-mini,7,abstain+check_tools+coverage_check+transparency,valid_but_wrong,reliability,6,0
20260726-223032-gpt-5-mini,7,abstain+check_tools+resolve+transparency,adversarial,reliability,13,6
20260726-223032-gpt-5-mini,7,abstain+check_tools+resolve+transparency,diagnostic,answerable,7,7
20260726-223032-gpt-5-mini,7,abstain+check_tools+resolve+transparency,false_premise,reliability,2,0
20260726-223032-gpt-5-mini,7,abstain+check_tools+resolve+transparency,filtered,answerable,5,3
20260726-223032-gpt-5-mini,7,abstain+check_tools+resolve+transparency,knowledge,answerable,5,3
20260726-223032-gpt-5-mini,7,abstain+check_tools+resolve+transparency,lookup,answerable,3,3
20260726-223032-gpt-5-mini,7,abstain+check_tools+resolve+transparency,metric,answerable,5,5
20260726-223032-gpt-5-mini,7,abstain+check_tools+resolve+transparency,rt_phantom,reliability,4,2
20260726-223032-gpt-5-mini,7,abstain+check_tools+resolve+transparency,unanswerable,reliability,6,5
20260726-223032-gpt-5-mini,7,abstain+check_tools+resolve+transparency,valid_but_wrong,answerable,1,1
20260726-223032-gpt-5-mini,7,abstain+check_tools+resolve+transparency,valid_but_wrong,reliability,6,0
20260726-223032-gpt-5-mini,7,abstain+check_tools+tool_restriction+resolve+transparency+governed_numbers+trajectory_verify,adversarial,reliability,13,7
20260726-223032-gpt-5-mini,7,abstain+check_tools+tool_restriction+resolve+transparency+governed_numbers+trajectory_verify,diagnostic,answerable,7,6
20260726-223032-gpt-5-mini,7,abstain+check_tools+tool_restriction+resolve+transparency+governed_numbers+trajectory_verify,false_premise,reliability,2,0
20260726-223032-gpt-5-mini,7,abstain+check_tools+tool_restriction+resolve+transparency+governed_numbers+trajectory_verify,filtered,answerable,5,2
20260726-223032-gpt-5-mini,7,abstain+check_tools+tool_restriction+resolve+transparency+governed_numbers+trajectory_verify,knowledge,answerable,5,2
