run,rung,config,tool,calls,calls_per_question
exp4-shapley-lattice,7,R6-resolve,check_segment_defined,22,0.129
exp4-shapley-lattice,7,R6-resolve,check_causal_evidence,12,0.07
exp4-shapley-lattice,7,R6-resolve,get_schema,1,0.006
exp4-shapley-lattice,7,R6-tool_restriction,query_metric,195,1.14
exp4-shapley-lattice,7,R6-tool_restriction,list_metrics,137,0.801
exp4-shapley-lattice,7,R6-tool_restriction,check_coverage,68,0.398
exp4-shapley-lattice,7,R6-tool_restriction,explain_change,49,0.287
exp4-shapley-lattice,7,R6-tool_restriction,check_segment_defined,45,0.263
exp4-shapley-lattice,7,R6-tool_restriction,check_metric_exists,41,0.24
exp4-shapley-lattice,7,R6-tool_restriction,get_metric_tree,29,0.17
exp4-shapley-lattice,7,R6-tool_restriction,run_sql,23,0.135
exp4-shapley-lattice,7,R6-tool_restriction,check_causal_evidence,11,0.064
exp4-shapley-lattice,7,R6-tool_restriction,get_schema,7,0.041
exp4-shapley-lattice,7,R6-tool_restriction,describe_table,4,0.023
exp4-shapley-lattice,7,R7,query_metric,188,1.099
exp4-shapley-lattice,7,R7,list_metrics,133,0.778
exp4-shapley-lattice,7,R7,explain_change,68,0.398
exp4-shapley-lattice,7,R7,check_metric_exists,66,0.386
exp4-shapley-lattice,7,R7,check_coverage,51,0.298
exp4-shapley-lattice,7,R7,check_segment_defined,32,0.187
exp4-shapley-lattice,7,R7,get_metric_tree,19,0.111
exp4-shapley-lattice,7,R7,check_causal_evidence,14,0.082
exp4-shapley-lattice,7,R7-coverage_check,query_metric,179,1.047
exp4-shapley-lattice,7,R7-coverage_check,list_metrics,153,0.895
exp4-shapley-lattice,7,R7-coverage_check,check_metric_exists,59,0.345
exp4-shapley-lattice,7,R7-coverage_check,check_coverage,45,0.263
exp4-shapley-lattice,7,R7-coverage_check,explain_change,42,0.246
exp4-shapley-lattice,7,R7-coverage_check,check_segment_defined,37,0.216
exp4-shapley-lattice,7,R7-coverage_check,get_metric_tree,20,0.117
exp4-shapley-lattice,7,R7-coverage_check,check_causal_evidence,13,0.076
exp4-shapley-lattice,7,R7-resolve,query_metric,187,1.094
exp4-shapley-lattice,7,R7-resolve,list_metrics,138,0.807
exp4-shapley-lattice,7,R7-resolve,explain_change,61,0.357
exp4-shapley-lattice,7,R7-resolve,check_metric_exists,55,0.322
exp4-shapley-lattice,7,R7-resolve,check_coverage,49,0.287
exp4-shapley-lattice,7,R7-resolve,check_segment_defined,22,0.129
exp4-shapley-lattice,7,R7-resolve,get_metric_tree,19,0.111
exp4-shapley-lattice,7,R7-resolve,check_causal_evidence,14,0.082
exp4-shapley-lattice,7,R8,query_metric,198,1.158
exp4-shapley-lattice,7,R8,list_metrics,139,0.813
exp4-shapley-lattice,7,R8,explain_change,58,0.339
exp4-shapley-lattice,7,R8,check_metric_exists,45,0.263
exp4-shapley-lattice,7,R8,check_segment_defined,42,0.246
exp4-shapley-lattice,7,R8,check_coverage,41,0.24
exp4-shapley-lattice,7,R8,get_metric_tree,30,0.175
exp4-shapley-lattice,7,R8,check_causal_evidence,14,0.082
exp4-shapley-lattice,7,R8,get_schema,2,0.012
exp4-shapley-lattice,7,R8,describe_table,1,0.006
exp4-shapley-lattice,7,R8-coverage_check,query_metric,203,1.187
exp4-shapley-lattice,7,R8-coverage_check,list_metrics,158,0.924
exp4-shapley-lattice,7,R8-coverage_check,check_metric_exists,52,0.304
exp4-shapley-lattice,7,R8-coverage_check,check_coverage,47,0.275
exp4-shapley-lattice,7,R8-coverage_check,check_segment_defined,45,0.263
exp4-shapley-lattice,7,R8-coverage_check,explain_change,39,0.228
exp4-shapley-lattice,7,R8-coverage_check,get_metric_tree,22,0.129
exp4-shapley-lattice,7,R8-coverage_check,check_causal_evidence,14,0.082
exp4-shapley-lattice,7,R8-coverage_check,get_schema,1,0.006
exp4-shapley-lattice,7,R8-resolve,query_metric,195,1.14
exp4-shapley-lattice,7,R8-resolve,list_metrics,126,0.737
exp4-shapley-lattice,7,R8-resolve,explain_change,61,0.357
exp4-shapley-lattice,7,R8-resolve,check_metric_exists,56,0.327
exp4-shapley-lattice,7,R8-resolve,check_coverage,51,0.298
exp4-shapley-lattice,7,R8-resolve,get_metric_tree,23,0.135
exp4-shapley-lattice,7,R8-resolve,check_segment_defined,18,0.105
exp4-shapley-lattice,7,R8-resolve,check_causal_evidence,14,0.082
exp4-shapley-lattice,7,R9,query_metric,198,1.158
exp4-shapley-lattice,7,R9,list_metrics,140,0.819
exp4-shapley-lattice,7,R9,explain_change,55,0.322
exp4-shapley-lattice,7,R9,check_segment_defined,41,0.24
exp4-shapley-lattice,7,R9,check_metric_exists,38,0.222
exp4-shapley-lattice,7,R9,check_coverage,35,0.205
exp4-shapley-lattice,7,R9,get_metric_tree,21,0.123
exp4-shapley-lattice,7,R9,check_causal_evidence,13,0.076
exp4-shapley-lattice,7,R9-coverage_check,query_metric,184,1.076
exp4-shapley-lattice,7,R9-coverage_check,list_metrics,158,0.924
exp4-shapley-lattice,7,R9-coverage_check,explain_change,51,0.298
exp4-shapley-lattice,7,R9-coverage_check,check_metric_exists,50,0.292
exp4-shapley-lattice,7,R9-coverage_check,check_coverage,47,0.275
exp4-shapley-lattice,7,R9-coverage_check,check_segment_defined,40,0.234
exp4-shapley-lattice,7,R9-coverage_check,get_metric_tree,21,0.123
exp4-shapley-lattice,7,R9-coverage_check,check_causal_evidence,16,0.094
exp4-shapley-lattice,7,R9-coverage_check,get_schema,3,0.018
exp4-shapley-lattice,7,R9-coverage_check,describe_table,1,0.006
exp4-shapley-lattice,7,R9-output_validation,query_metric,175,1.023
exp4-shapley-lattice,7,R9-output_validation,list_metrics,137,0.801
exp4-shapley-lattice,7,R9-output_validation,explain_change,62,0.363
exp4-shapley-lattice,7,R9-output_validation,check_metric_exists,50,0.292
exp4-shapley-lattice,7,R9-output_validation,check_segment_defined,33,0.193
exp4-shapley-lattice,7,R9-output_validation,check_coverage,27,0.158
exp4-shapley-lattice,7,R9-output_validation,get_metric_tree,26,0.152
exp4-shapley-lattice,7,R9-output_validation,check_causal_evidence,18,0.105
exp4-shapley-lattice,7,R9-output_validation,get_schema,1,0.006
exp4-shapley-lattice,7,R9-output_validation,describe_table,1,0.006
exp4-shapley-lattice,7,R9-resolve,query_metric,208,1.216
exp4-shapley-lattice,7,R9-resolve,list_metrics,135,0.789
exp4-shapley-lattice,7,R9-resolve,explain_change,52,0.304
exp4-shapley-lattice,7,R9-resolve,check_coverage,48,0.281
exp4-shapley-lattice,7,R9-resolve,check_metric_exists,38,0.222
exp4-shapley-lattice,7,R9-resolve,get_metric_tree,23,0.135
exp4-shapley-lattice,7,R9-resolve,check_segment_defined,20,0.117
exp4-shapley-lattice,7,R9-resolve,check_causal_evidence,13,0.076
exp4-shapley-lattice,7,R9-resolve,get_schema,1,0.006
exp4-shapley-lattice,7,R9-resolve,describe_table,1,0.006
exp4-shapley-lattice,7,abstain+check_tools+coverage_check+tool_restriction+transparency+governed_numbers+trajectory_verify,query_metric,192,1.123
exp4-shapley-lattice,7,abstain+check_tools+coverage_check+tool_restriction+transparency+governed_numbers+trajectory_verify,list_metrics,149,0.871
exp4-shapley-lattice,7,abstain+check_tools+coverage_check+tool_restriction+transparency+governed_numbers+trajectory_verify,check_metric_exists,53,0.31
exp4-shapley-lattice,7,abstain+check_tools+coverage_check+tool_restriction+transparency+governed_numbers+trajectory_verify,explain_change,42,0.246
exp4-shapley-lattice,7,abstain+check_tools+coverage_check+tool_restriction+transparency+governed_numbers+trajectory_verify,check_coverage,35,0.205
exp4-shapley-lattice,7,abstain+check_tools+coverage_check+tool_restriction+transparency+governed_numbers+trajectory_verify,check_segment_defined,32,0.187
exp4-shapley-lattice,7,abstain+check_tools+coverage_check+tool_restriction+transparency+governed_numbers+trajectory_verify,get_metric_tree,20,0.117
exp4-shapley-lattice,7,abstain+check_tools+coverage_check+tool_restriction+transparency+governed_numbers+trajectory_verify,check_causal_evidence,18,0.105
exp4-shapley-lattice,7,abstain+check_tools+coverage_check+transparency,query_metric,178,1.041
exp4-shapley-lattice,7,abstain+check_tools+coverage_check+transparency,list_metrics,136,0.795
exp4-shapley-lattice,7,abstain+check_tools+coverage_check+transparency,explain_change,49,0.287
exp4-shapley-lattice,7,abstain+check_tools+coverage_check+transparency,check_coverage,48,0.281
exp4-shapley-lattice,7,abstain+check_tools+coverage_check+transparency,check_metric_exists,44,0.257
exp4-shapley-lattice,7,abstain+check_tools+coverage_check+transparency,check_segment_defined,38,0.222
exp4-shapley-lattice,7,abstain+check_tools+coverage_check+transparency,get_metric_tree,25,0.146
exp4-shapley-lattice,7,abstain+check_tools+coverage_check+transparency,run_sql,17,0.099
exp4-shapley-lattice,7,abstain+check_tools+coverage_check+transparency,check_causal_evidence,14,0.082
exp4-shapley-lattice,7,abstain+check_tools+coverage_check+transparency,get_schema,7,0.041
exp4-shapley-lattice,7,abstain+check_tools+coverage_check+transparency,describe_table,5,0.029
exp4-shapley-lattice,7,abstain+check_tools+resolve+transparency,query_metric,180,1.053
exp4-shapley-lattice,7,abstain+check_tools+resolve+transparency,list_metrics,157,0.918
exp4-shapley-lattice,7,abstain+check_tools+resolve+transparency,check_coverage,68,0.398
exp4-shapley-lattice,7,abstain+check_tools+resolve+transparency,check_metric_exists,51,0.298
exp4-shapley-lattice,7,abstain+check_tools+resolve+transparency,explain_change,45,0.263
exp4-shapley-lattice,7,abstain+check_tools+resolve+transparency,check_segment_defined,45,0.263
exp4-shapley-lattice,7,abstain+check_tools+resolve+transparency,run_sql,32,0.187
exp4-shapley-lattice,7,abstain+check_tools+resolve+transparency,get_metric_tree,29,0.17
exp4-shapley-lattice,7,abstain+check_tools+resolve+transparency,get_schema,14,0.082
exp4-shapley-lattice,7,abstain+check_tools+resolve+transparency,check_causal_evidence,13,0.076
exp4-shapley-lattice,7,abstain+check_tools+resolve+transparency,describe_table,8,0.047
exp4-shapley-lattice,7,abstain+check_tools+tool_restriction+resolve+transparency+governed_numbers+trajectory_verify,query_metric,177,1.035
exp4-shapley-lattice,7,abstain+check_tools+tool_restriction+resolve+transparency+governed_numbers+trajectory_verify,list_metrics,149,0.871
exp4-shapley-lattice,7,abstain+check_tools+tool_restriction+resolve+transparency+governed_numbers+trajectory_verify,check_metric_exists,55,0.322
exp4-shapley-lattice,7,abstain+check_tools+tool_restriction+resolve+transparency+governed_numbers+trajectory_verify,check_coverage,44,0.257
exp4-shapley-lattice,7,abstain+check_tools+tool_restriction+resolve+transparency+governed_numbers+trajectory_verify,explain_change,43,0.251
exp4-shapley-lattice,7,abstain+check_tools+tool_restriction+resolve+transparency+governed_numbers+trajectory_verify,check_segment_defined,38,0.222
exp4-shapley-lattice,7,abstain+check_tools+tool_restriction+resolve+transparency+governed_numbers+trajectory_verify,get_metric_tree,21,0.123
exp4-shapley-lattice,7,abstain+check_tools+tool_restriction+resolve+transparency+governed_numbers+trajectory_verify,check_causal_evidence,14,0.082
exp4-shapley-lattice,7,abstain+check_tools+tool_restriction+resolve+transparency+governed_numbers+trajectory_verify,get_schema,1,0.006
exp4-shapley-lattice,7,abstain+check_tools+tool_restriction+transparency,query_metric,189,1.105
exp4-shapley-lattice,7,abstain+check_tools+tool_restriction+transparency,list_metrics,160,0.936
exp4-shapley-lattice,7,abstain+check_tools+tool_restriction+transparency,check_coverage,60,0.351
exp4-shapley-lattice,7,abstain+check_tools+tool_restriction+transparency,check_metric_exists,57,0.333
exp4-shapley-lattice,7,abstain+check_tools+tool_restriction+transparency,explain_change,48,0.281
exp4-shapley-lattice,7,abstain+check_tools+tool_restriction+transparency,check_segment_defined,32,0.187
exp4-shapley-lattice,7,abstain+check_tools+tool_restriction+transparency,get_metric_tree,24,0.14
exp4-shapley-lattice,7,abstain+check_tools+tool_restriction+transparency,check_causal_evidence,13,0.076
exp4-shapley-lattice,7,abstain+check_tools+tool_restriction+transparency,get_schema,5,0.029
exp4-shapley-lattice,7,abstain+check_tools+tool_restriction+transparency,describe_table,4,0.023
exp4-shapley-lattice,7,abstain+check_tools+tool_restriction+transparency+governed_numbers,query_metric,187,1.094
exp4-shapley-lattice,7,abstain+check_tools+tool_restriction+transparency+governed_numbers,list_metrics,160,0.936
exp4-shapley-lattice,7,abstain+check_tools+tool_restriction+transparency+governed_numbers,explain_change,55,0.322
exp4-shapley-lattice,7,abstain+check_tools+tool_restriction+transparency+governed_numbers,check_metric_exists,49,0.287
exp4-shapley-lattice,7,abstain+check_tools+tool_restriction+transparency+governed_numbers,check_coverage,36,0.211
exp4-shapley-lattice,7,abstain+check_tools+tool_restriction+transparency+governed_numbers,get_metric_tree,20,0.117
exp4-shapley-lattice,7,abstain+check_tools+tool_restriction+transparency+governed_numbers,check_segment_defined,17,0.099
exp4-shapley-lattice,7,abstain+check_tools+tool_restriction+transparency+governed_numbers,check_causal_evidence,15,0.088
exp4-shapley-lattice,7,abstain+check_tools+tool_restriction+transparency+governed_numbers+output_validation,query_metric,192,1.123
exp4-shapley-lattice,7,abstain+check_tools+tool_restriction+transparency+governed_numbers+output_validation,list_metrics,155,0.906
exp4-shapley-lattice,7,abstain+check_tools+tool_restriction+transparency+governed_numbers+output_validation,check_coverage,53,0.31
exp4-shapley-lattice,7,abstain+check_tools+tool_restriction+transparency+governed_numbers+output_validation,check_metric_exists,49,0.287
exp4-shapley-lattice,7,abstain+check_tools+tool_restriction+transparency+governed_numbers+output_validation,explain_change,49,0.287
exp4-shapley-lattice,7,abstain+check_tools+tool_restriction+transparency+governed_numbers+output_validation,check_segment_defined,24,0.14
exp4-shapley-lattice,7,abstain+check_tools+tool_restriction+transparency+governed_numbers+output_validation,get_metric_tree,20,0.117
exp4-shapley-lattice,7,abstain+check_tools+tool_restriction+transparency+governed_numbers+output_validation,check_causal_evidence,15,0.088
exp4-shapley-lattice,7,abstain+check_tools+tool_restriction+transparency+governed_numbers+output_validation,describe_table,4,0.023
exp4-shapley-lattice,7,abstain+check_tools+tool_restriction+transparency+governed_numbers+output_validation+trajectory_verify,query_metric,193,1.129
exp4-shapley-lattice,7,abstain+check_tools+tool_restriction+transparency+governed_numbers+output_validation+trajectory_verify,list_metrics,169,0.988
exp4-shapley-lattice,7,abstain+check_tools+tool_restriction+transparency+governed_numbers+output_validation+trajectory_verify,explain_change,54,0.316
exp4-shapley-lattice,7,abstain+check_tools+tool_restriction+transparency+governed_numbers+output_validation+trajectory_verify,check_metric_exists,50,0.292
exp4-shapley-lattice,7,abstain+check_tools+tool_restriction+transparency+governed_numbers+output_validation+trajectory_verify,check_coverage,39,0.228
exp4-shapley-lattice,7,abstain+check_tools+tool_restriction+transparency+governed_numbers+output_validation+trajectory_verify,check_segment_defined,27,0.158
exp4-shapley-lattice,7,abstain+check_tools+tool_restriction+transparency+governed_numbers+output_validation+trajectory_verify,get_metric_tree,18,0.105
exp4-shapley-lattice,7,abstain+check_tools+tool_restriction+transparency+governed_numbers+output_validation+trajectory_verify,check_causal_evidence,16,0.094
exp4-shapley-lattice,7,abstain+check_tools+tool_restriction+transparency+governed_numbers+output_validation+trajectory_verify,get_schema,3,0.018
exp4-shapley-lattice,7,abstain+check_tools+tool_restriction+transparency+governed_numbers+output_validation+trajectory_verify,describe_table,2,0.012
exp4-shapley-lattice,7,abstain+check_tools+tool_restriction+transparency+governed_numbers+trajectory_verify,query_metric,190,1.111
exp4-shapley-lattice,7,abstain+check_tools+tool_restriction+transparency+governed_numbers+trajectory_verify,list_metrics,154,0.901
exp4-shapley-lattice,7,abstain+check_tools+tool_restriction+transparency+governed_numbers+trajectory_verify,check_metric_exists,50,0.292
exp4-shapley-lattice,7,abstain+check_tools+tool_restriction+transparency+governed_numbers+trajectory_verify,check_coverage,47,0.275
exp4-shapley-lattice,7,abstain+check_tools+tool_restriction+transparency+governed_numbers+trajectory_verify,explain_change,46,0.269
exp4-shapley-lattice,7,abstain+check_tools+tool_restriction+transparency+governed_numbers+trajectory_verify,check_segment_defined,23,0.135
exp4-shapley-lattice,7,abstain+check_tools+tool_restriction+transparency+governed_numbers+trajectory_verify,get_metric_tree,21,0.123
exp4-shapley-lattice,7,abstain+check_tools+tool_restriction+transparency+governed_numbers+trajectory_verify,check_causal_evidence,14,0.082
exp4-shapley-lattice,7,abstain+check_tools+tool_restriction+transparency+governed_numbers+trajectory_verify,describe_table,3,0.018
exp4-shapley-lattice,7,abstain+check_tools+tool_restriction+transparency+governed_numbers+trajectory_verify,get_schema,1,0.006
exp4-shapley-lattice,7,abstain+check_tools+transparency,query_metric,161,0.942
exp4-shapley-lattice,7,abstain+check_tools+transparency,list_metrics,149,0.871
exp4-shapley-lattice,7,abstain+check_tools+transparency,check_coverage,65,0.38
exp4-shapley-lattice,7,abstain+check_tools+transparency,explain_change,59,0.345
exp4-shapley-lattice,7,abstain+check_tools+transparency,check_metric_exists,57,0.333
exp4-shapley-lattice,7,abstain+check_tools+transparency,run_sql,33,0.193
exp4-shapley-lattice,7,abstain+check_tools+transparency,check_segment_defined,31,0.181
exp4-shapley-lattice,7,abstain+check_tools+transparency,get_metric_tree,26,0.152
exp4-shapley-lattice,7,abstain+check_tools+transparency,get_schema,22,0.129
exp4-shapley-lattice,7,abstain+check_tools+transparency,check_causal_evidence,12,0.07
exp4-shapley-lattice,7,abstain+check_tools+transparency,describe_table,7,0.041
